PATENTE;AÑO GIRO;AÑO FABRI.;MONTO PAGADO;TIPO PAGO;FECHA PAGO;MODULO ATENCION;TIPO VEHICULO;MARCA;MODELO;COLOR;CODIGO SII
AA1739;2025;1977;33715;TOTAL;45717;WEB;CAMIONETA;CHEVROLET      ;CC-10703;CREMA;CT500005
BKRC92;2024;2009;17686;2° Cuota;45717;WEB;furgón;CHANGAN;CARGO VAN;BLANCO;CO470001
BKRC92;2025;2009;16858;1°Cuota;45717;WEB;furgón;CHANGAN;CARGO VAN;BLANCO;CO470001
BPBJ23;2025;2008;33715;TOTAL;45717;WEB;STATION WAGON;MAZDA;CX7;ROJO;SU1600028
BPBL98;2025;2007;33715;TOTAL;45717;WEB;AUTOMOVIL;CHRYSLER;SEBRING TOURING;BLANCO;SD510039
BPBV33;2025;2004;33715;TOTAL;45717;WEB;STATION WAGON;NISSAN;XTERRA 4X4 AUT.;AZUL;SU1760094
BPCF10;2025;2002;33715;TOTAL;45717;WEB;STATION WAGON;ISUZU;TROOPER;BLANCO;SU500041
BPCH71;2025;2009;33715;TOTAL;45717;WEB;AUTOMOVIL;HYUNDAI;I 10;PLATEADO;HB1110063
BPCR83;2025;2008;33715;TOTAL;45717;WEB;STATION WAGON;SUZUKI;GRAND NOMADE;PLATEADO PLATA;SU2290186
BPVY59;2025;2009;33715;TOTAL;45717;WEB;AUTOMOVIL;CHEVROLET;AVEO SEDAN LT NB;BLANCO GALAXY;SD500226
BRGZ71;2025;2003;33715;TOTAL;45717;WEB;AUTOMOVIL;TOYOTA;VITZ;BLANCO;SD2350116
BRHC35;2025;2008;33715;TOTAL;45717;WEB;STATION WAGON;FORD;ECOSPORT XLS PLUS ;AZUL METALICO;SU790043
BSDW66;2025;2008;33715;TOTAL;45717;WEB;AUTOMOVIL;CHEVROLET;OPTRA II NLS;PLATEADO POLY;SD500221
BTKS77;2025;2009;33715;TOTAL;45717;WEB;STATION WAGON;FORD;ECOSPORT;BEIGE;SU790046
BVYT40;2025;2009;33715;TOTAL;45717;WEB;STATION WAGON;HONDA;CR V LX;GRIS PLATA;SU1060041
CBRW83;2025;2010;33715;TOTAL;45717;WEB;AUTOMOVIL;CHEVROLET;AVEO LT;GRIS;SD500237
CDLJ93;2025;2000;33715;TOTAL;45717;WEB;AUTOMOVIL;TOYOTA;VITZ 997;GRIS PLOMO;HB1110006
CGBB31;2025;1998;33715;TOTAL;45717;WEB;AUTOMOVIL;HONDA;INTEGRA;BLANCO;SD1060064
CGHD75;2025;2010;35829;TOTAL;45717;WEB;JEEP;TOYOTA;FJ  CRUSUER LIMITED 4X4;BLANCO  GRIS ME;SU2350067
CHYH12;2025;2002;33715;TOTAL;45717;WEB;STATION WAGON;HYUNDAI;TERRACAN 4X2;BLANCO GRIS;VN1110075
CHYK79;2025;1997;33715;TOTAL;45717;WEB;STATION WAGON;TOYOTA;REGIUSACE;PLATEADO;VN1660012
CHYR92;2025;2003;33715;TOTAL;45717;WEB;STATION WAGON;HYUNDAI;SANTA FE;CELESTE;VN1110074
CKKF82;2025;2010;33715;TOTAL;45717;WEB;CAMIONETA;NISSAN;NAVARA DCAB LUX LE;PLATEADO PLATA;CT1760247
CKLD25;2025;2000;33715;TOTAL;45717;WEB;AUTOMOVIL;TOYOTA;VITZ;NEGRO;SD2350126
CLCF13;2025;2010;33715;TOTAL;45717;WEB;AUTOMOVIL;HYUNDAI;ACCENT 1.4;PLATEADO;SD1110146
CPKH48;2025;2001;33715;TOTAL;45717;WEB;AUTOMOVIL;TOYOTA;VITZ;ROSADO;SD2350126
CTZD47;2025;2004;33715;TOTAL;45717;WEB;STATION WAGON;MAZDA;AXELA;AZUL PURPURA;HB1600024
CVBR26;2025;1999;33715;TOTAL;45717;WEB;AUTOMOVIL;TOYOTA;VITZ;ROJO;HB1110011
CVXL33;2025;2003;33715;TOTAL;45717;WEB;AUTOMOVIL;TOYOTA;VITZ;GRIS;HB2350013
DCDC14;2025;2011;33715;TOTAL;45717;WEB;STATION WAGON;CHEVROLET;CAPTIVA LS;PLATEADO PLATA;SU500069
DCPH53;2025;1997;33715;TOTAL;45717;WEB;STATION WAGON;NISSAN;ELGRAND;PLATEADO;SD1760096
DCYG96;2025;2007;33715;TOTAL;45717;WEB;STATION WAGON;KIA;SPORTAGE;VERDE;SU1320090
DJHH45;2025;2008;33715;TOTAL;45717;WEB;STATION WAGON;JEEP;LIBERTY;GRIS;SU1210035
DTSX22;2025;2012;59303;TOTAL;45717;WEB;CAMIONETA;TOYOTA;TUNDRA;PLATEADO METALI;CT2350131
DVWZ32;2025;2012;57221;TOTAL;45717;WEB;CAMIONETA;DODGE;RAM 2500 SLT CREW CAB;NEGRO;CT640069
